total_time,total_tasks_created,tasks_accepted,tasks_skipped,tasks_completed,total_reward,avg_queue_time,load_deviation,server_0_freq,server_1_freq,server_2_freq,episode,policy
300,300,127,173,94,-783.82,87.0911,0.0344,0.3333,0.3333,0.3333,61,RoundRobin_v1
300,300,124,176,93,-786.17,87.3522,0.0328,0.3333,0.3333,0.3333,62,RoundRobin_v1
300,300,120,180,88,-782.65,86.9611,0.035,0.3333,0.3333,0.3333,63,RoundRobin_v1
300,300,127,173,94,-779.54,86.6156,0.0327,0.3333,0.3333,0.3333,64,RoundRobin_v1
300,300,121,179,93,-783.02,87.0022,0.0333,0.3333,0.3333,0.3333,65,RoundRobin_v1
300,300,125,175,92,-776.84,86.3156,0.0342,0.3333,0.3333,0.3333,66,RoundRobin_v1
300,300,126,174,92,-790.66,87.8511,0.0369,0.3333,0.3333,0.3333,67,RoundRobin_v1
300,300,127,173,93,-789.02,87.6689,0.0301,0.3333,0.3333,0.3333,68,RoundRobin_v1
300,300,123,177,90,-783.95,87.1056,0.0339,0.3333,0.3333,0.3333,69,RoundRobin_v1
300,300,123,177,92,-786.96,87.44,0.0362,0.3333,0.3333,0.3333,70,RoundRobin_v1
300,300,134,166,97,-779.67,86.63,0.0406,0.3333,0.3333,0.3333,71,RoundRobin_v1
300,300,122,178,89,-782.44,86.9378,0.0297,0.3333,0.3333,0.3333,72,RoundRobin_v1
300,300,117,183,86,-786.21,87.3567,0.0375,0.3333,0.3333,0.3333,73,RoundRobin_v1
300,300,121,179,87,-786.69,87.41,0.0329,0.3333,0.3333,0.3333,74,RoundRobin_v1
300,300,127,173,94,-784.24,87.1378,0.0317,0.3333,0.3333,0.3333,75,RoundRobin_v1
300,300,125,175,90,-784.8,87.2,0.037,0.3333,0.3333,0.3333,76,RoundRobin_v1
300,300,125,175,92,-785.69,87.2989,0.0347,0.3333,0.3333,0.3333,77,RoundRobin_v1
300,300,130,170,94,-784.62,87.18,0.0326,0.3333,0.3333,0.3333,78,RoundRobin_v1
300,300,120,180,85,-783.79,87.0878,0.0324,0.3333,0.3333,0.3333,79,RoundRobin_v1
300,300,125,175,92,-784.78,87.1978,0.0333,0.3333,0.3333,0.3333,80,RoundRobin_v1
300,300,129,171,97,-770.43,85.6033,0.0352,0.3333,0.3333,0.3333,81,RoundRobin_v1
300,300,125,175,90,-784.17,87.13,0.0344,0.3333,0.3333,0.3333,82,RoundRobin_v1
300,300,121,179,87,-788.05,87.5611,0.0346,0.3333,0.3333,0.3333,83,RoundRobin_v1
300,300,125,175,92,-776.62,86.2911,0.0365,0.3333,0.3333,0.3333,84,RoundRobin_v1
300,300,127,173,94,-784.89,87.21,0.0334,0.3333,0.3333,0.3333,85,RoundRobin_v1
300,300,116,184,83,-782.85,86.9833,0.0381,0.3333,0.3333,0.3333,86,RoundRobin_v1
300,300,124,176,92,-785.16,87.24,0.0352,0.3333,0.3333,0.3333,87,RoundRobin_v1
300,300,125,175,92,-786.88,87.4311,0.0308,0.3333,0.3333,0.3333,88,RoundRobin_v1
300,300,132,168,97,-773.74,85.9711,0.0384,0.3333,0.3333,0.3333,89,RoundRobin_v1
300,300,124,176,90,-778.95,86.55,0.0381,0.3333,0.3333,0.3333,90,RoundRobin_v1
300,300,118,182,86,-778.38,86.4867,0.0396,0.3333,0.3333,0.3333,91,RoundRobin_v1
300,300,127,173,92,-782.13,86.9033,0.034,0.3333,0.3333,0.3333,92,RoundRobin_v1
300,300,131,169,93,-784.27,87.1411,0.0303,0.3333,0.3333,0.3333,93,RoundRobin_v1
300,300,120,180,86,-777.22,86.3578,0.0399,0.3333,0.3333,0.3333,94,RoundRobin_v1
300,300,122,178,89,-787.45,87.4944,0.0315,0.3333,0.3333,0.3333,95,RoundRobin_v1
300,300,120,180,91,-780.08,86.6756,0.033,0.3333,0.3333,0.3333,96,RoundRobin_v1
300,300,124,176,95,-777.28,86.3644,0.0342,0.3333,0.3333,0.3333,97,RoundRobin_v1
300,300,123,177,87,-789.9,87.7667,0.036,0.3333,0.3333,0.3333,98,RoundRobin_v1
300,300,125,175,89,-780.87,86.7633,0.0301,0.3333,0.3333,0.3333,99,RoundRobin_v1
300,300,126,174,95,-781.81,86.8678,0.0335,0.3333,0.3333,0.3333,100,RoundRobin_v1
