total_time,total_tasks_created,tasks_accepted,tasks_skipped,tasks_completed,total_reward,avg_queue_time,load_deviation,server_0_freq,server_1_freq,server_2_freq,episode,policy
300,300,300,0,95,-2931.41,325.7122,0.1772,0.3333,0.3333,0.3333,63,RoundRobin
300,300,300,0,93,-2923.4,324.8222,0.1419,0.3333,0.3333,0.3333,64,RoundRobin
300,300,300,0,95,-2956.0,328.4444,0.1204,0.3333,0.3333,0.3333,65,RoundRobin
300,300,300,0,94,-2961.86,329.0956,0.1072,0.3333,0.3333,0.3333,66,RoundRobin
300,300,300,0,98,-2828.61,314.29,0.0535,0.3333,0.3333,0.3333,67,RoundRobin
300,300,300,0,95,-2847.21,316.3567,0.1335,0.3333,0.3333,0.3333,68,RoundRobin
300,300,300,0,92,-3036.17,337.3522,0.0745,0.3333,0.3333,0.3333,69,RoundRobin
300,300,300,0,91,-3020.27,335.5856,0.1461,0.3333,0.3333,0.3333,70,RoundRobin
300,300,300,0,98,-2731.24,303.4711,0.0941,0.3333,0.3333,0.3333,71,RoundRobin
300,300,300,0,93,-2946.46,327.3844,0.0713,0.3333,0.3333,0.3333,72,RoundRobin
300,300,300,0,90,-3029.06,336.5622,0.1359,0.3333,0.3333,0.3333,73,RoundRobin
300,300,300,0,90,-3078.97,342.1078,0.145,0.3333,0.3333,0.3333,74,RoundRobin
300,300,300,0,93,-2849.17,316.5744,0.0953,0.3333,0.3333,0.3333,75,RoundRobin
300,300,300,0,96,-2871.2,319.0222,0.3082,0.3333,0.3333,0.3333,76,RoundRobin
300,300,300,0,95,-2876.28,319.5867,0.1703,0.3333,0.3333,0.3333,77,RoundRobin
300,300,300,0,90,-2939.38,326.5978,0.0815,0.3333,0.3333,0.3333,78,RoundRobin
300,300,300,0,91,-3038.06,337.5622,0.1237,0.3333,0.3333,0.3333,79,RoundRobin
300,300,300,0,94,-2879.37,319.93,0.206,0.3333,0.3333,0.3333,80,RoundRobin
300,300,300,0,101,-2854.88,317.2089,0.0878,0.3333,0.3333,0.3333,81,RoundRobin
300,300,300,0,95,-2847.78,316.42,0.2043,0.3333,0.3333,0.3333,82,RoundRobin
300,300,300,0,90,-3042.17,338.0189,0.1781,0.3333,0.3333,0.3333,83,RoundRobin
300,300,300,0,96,-2863.6,318.1778,0.2336,0.3333,0.3333,0.3333,84,RoundRobin
