Metric,A_mean,A_std,B_mean,B_std
total_time,300.0,0.0,300.0,0.0
total_tasks_created,300.0,0.0,300.0,0.0
tasks_accepted,300.0,0.0,300.0,0.0
tasks_skipped,0.0,0.0,0.0,0.0
tasks_completed,31.21,1.6471,93.44,3.0561
total_reward,-2485.8053,53.6065,-1008.9365,29.9667
avg_queue_time,426.6106,9.6665,327.2762,9.6665
load_deviation,6.0332,0.1367,0.1405,0.0536
server_0_freq,0.0,0.0,0.3333,0.0
server_1_freq,0.0,0.0,0.3333,0.0
server_2_freq,1.0,0.0,0.3333,0.0
