total_time,total_tasks_created,tasks_accepted,tasks_skipped,tasks_completed,total_reward,avg_queue_time,load_deviation,server_0_freq,server_1_freq,server_2_freq,episode,base_seed,policy
300,300,59,241,33,-225.749,35.083,0.4161,0.0067,0.4067,0.5867,1,0,DQN_v1
300,300,57,243,33,-226.7929,35.0976,0.419,0.0067,0.4,0.5933,2,0,DQN_v1
300,300,59,241,33,-227.6954,35.7318,0.4217,0.0067,0.4,0.5933,3,0,DQN_v1
300,300,56,244,32,-227.1097,35.0366,0.4178,0.0067,0.4133,0.58,4,0,DQN_v1
300,300,56,244,32,-226.4233,34.8078,0.4199,0.0067,0.4233,0.57,5,0,DQN_v1
300,300,55,245,32,-227.5684,35.0228,0.4199,0.0067,0.4067,0.5867,6,0,DQN_v1
300,300,55,245,33,-228.5996,35.3665,0.4165,0.0067,0.41,0.5833,7,0,DQN_v1
300,300,52,248,33,-227.8874,34.6291,0.415,0.01,0.44,0.55,8,0,DQN_v1
300,300,59,241,33,-225.3161,34.9387,0.4176,0.0067,0.3833,0.61,9,0,DQN_v1
300,300,57,243,32,-226.6753,35.0584,0.4201,0.0067,0.41,0.5833,10,0,DQN_v1
300,300,56,244,33,-228.7113,35.5704,0.417,0.01,0.4,0.59,11,0,DQN_v1
300,300,56,244,33,-226.8541,34.9514,0.4163,0.0067,0.4033,0.59,12,0,DQN_v1
300,300,55,245,32,-228.1987,35.2329,0.4187,0.0067,0.39,0.6033,13,0,DQN_v1
300,300,54,246,32,-227.3221,34.774,0.4193,0.0067,0.4433,0.55,14,0,DQN_v1
300,300,59,241,33,-226.8856,35.4619,0.4185,0.0067,0.3933,0.6,15,0,DQN_v1
300,300,56,244,33,-226.5136,34.8379,0.4153,0.01,0.4233,0.5667,16,0,DQN_v1
300,300,58,242,33,-226.446,35.1487,0.4182,0.0067,0.4067,0.5867,17,0,DQN_v1
300,300,59,241,32,-224.8047,34.7682,0.4165,0.0067,0.41,0.5833,18,0,DQN_v1
300,300,57,243,33,-228.5982,35.6994,0.4204,0.0067,0.4033,0.59,19,0,DQN_v1
300,300,56,244,33,-227.7928,35.2643,0.4177,0.0067,0.4033,0.59,20,0,DQN_v1
300,300,58,242,32,-225.5499,34.85,0.4169,0.0067,0.4133,0.58,21,0,DQN_v1
300,300,57,243,33,-226.7325,35.0775,0.4193,0.0067,0.3967,0.5967,22,0,DQN_v1
300,300,56,244,33,-227.7979,35.266,0.4171,0.0067,0.3867,0.6067,23,0,DQN_v1
300,300,57,243,33,-225.975,34.825,0.417,0.0067,0.4067,0.5867,24,0,DQN_v1
300,300,55,245,32,-225.4469,34.3156,0.4184,0.0067,0.44,0.5533,25,0,DQN_v1
300,300,57,243,33,-227.6682,35.3894,0.4165,0.0067,0.3867,0.6067,26,0,DQN_v1
300,300,58,242,33,-226.5683,35.1894,0.4187,0.0067,0.4,0.5933,27,0,DQN_v1
300,300,54,246,33,-228.1236,35.0412,0.4182,0.0067,0.41,0.5833,28,0,DQN_v1
300,300,57,243,33,-227.2374,35.2458,0.4189,0.0067,0.4067,0.5867,29,0,DQN_v1
300,300,55,245,32,-227.07,34.8567,0.4178,0.0067,0.41,0.5833,30,0,DQN_v1
300,300,61,239,33,-225.3037,35.2679,0.418,0.0067,0.3833,0.61,31,0,DQN_v1
300,300,57,243,32,-226.1125,34.8708,0.419,0.0067,0.4167,0.5767,32,0,DQN_v1
300,300,56,244,33,-228.7904,35.5968,0.4203,0.0067,0.4033,0.59,33,0,DQN_v1
300,300,53,247,34,-230.8732,35.7911,0.4183,0.0067,0.4,0.5933,34,0,DQN_v1
300,300,54,246,32,-227.1967,34.7322,0.4185,0.0067,0.4067,0.5867,35,0,DQN_v1
300,300,59,241,33,-226.5484,35.3495,0.4191,0.0067,0.3733,0.62,36,0,DQN_v1
300,300,56,244,32,-226.4331,34.811,0.416,0.0067,0.42,0.5733,37,0,DQN_v1
300,300,53,247,33,-228.4558,34.9853,0.4169,0.0067,0.3967,0.5967,38,0,DQN_v1
300,300,53,247,33,-229.3279,35.276,0.4171,0.0067,0.39,0.6033,39,0,DQN_v1
300,300,56,244,32,-224.9835,34.3278,0.4158,0.0067,0.43,0.5633,40,0,DQN_v1
300,300,59,241,34,-226.882,35.4607,0.4181,0.0067,0.41,0.5833,41,0,DQN_v1
300,300,54,246,32,-227.1873,34.7291,0.4172,0.0067,0.4367,0.5567,42,0,DQN_v1
300,300,55,245,32,-227.701,35.067,0.4213,0.0067,0.4133,0.58,43,0,DQN_v1
300,300,58,242,33,-226.2612,35.0871,0.4174,0.0067,0.4067,0.5867,44,0,DQN_v1
300,300,54,246,33,-228.9696,35.3232,0.4212,0.0067,0.42,0.5733,45,0,DQN_v1
300,300,57,243,32,-224.8529,34.451,0.418,0.0067,0.4267,0.5667,46,0,DQN_v1
300,300,60,240,33,-224.4395,34.8132,0.417,0.0067,0.4167,0.5767,47,0,DQN_v1
300,300,59,241,32,-223.4352,34.3117,0.4163,0.01,0.43,0.56,48,0,DQN_v1
300,300,56,244,33,-227.2105,35.0702,0.4155,0.0067,0.4,0.5933,49,0,DQN_v1
300,300,58,242,32,-225.2071,34.7357,0.4192,0.0067,0.43,0.5633,50,0,DQN_v1
300,300,59,241,32,-225.0553,34.8518,0.4197,0.0067,0.43,0.5633,51,0,DQN_v1
300,300,58,242,33,-226.2311,35.077,0.419,0.0067,0.4133,0.58,52,0,DQN_v1
300,300,59,241,33,-226.0747,35.1916,0.4172,0.0067,0.4033,0.59,53,0,DQN_v1
300,300,58,242,33,-227.3316,35.4439,0.4202,0.0067,0.3967,0.5967,54,0,DQN_v1
300,300,58,242,33,-228.1599,35.72,0.419,0.0067,0.4033,0.59,55,0,DQN_v1
300,300,61,239,33,-225.2288,35.2429,0.4204,0.0067,0.4067,0.5867,56,0,DQN_v1
300,300,58,242,33,-226.2182,35.0727,0.4186,0.0067,0.3967,0.5967,57,0,DQN_v1
300,300,54,246,33,-228.5382,35.1794,0.4162,0.0067,0.4133,0.58,58,0,DQN_v1
300,300,53,247,33,-228.1586,34.8862,0.4177,0.01,0.4267,0.5633,59,0,DQN_v1
300,300,54,246,33,-228.7918,35.2639,0.4195,0.0067,0.4067,0.5867,60,0,DQN_v1
300,300,53,247,34,-229.0465,35.1822,0.4178,0.0067,0.4267,0.5667,61,0,DQN_v1
300,300,57,243,34,-228.1329,35.5443,0.4173,0.0067,0.3967,0.5967,62,0,DQN_v1
300,300,58,242,33,-225.3679,34.7893,0.4156,0.0067,0.4167,0.5767,63,0,DQN_v1
300,300,60,240,33,-225.4959,35.1653,0.4172,0.0067,0.4,0.5933,64,0,DQN_v1
300,300,57,243,33,-226.5591,35.0197,0.4176,0.0067,0.4133,0.58,65,0,DQN_v1
300,300,56,244,33,-228.5793,35.5264,0.4197,0.0067,0.3967,0.5967,66,0,DQN_v1
300,300,57,243,32,-225.0453,34.5151,0.4173,0.01,0.43,0.56,67,0,DQN_v1
300,300,55,245,33,-227.9933,35.1644,0.4166,0.0067,0.4033,0.59,68,0,DQN_v1
300,300,60,240,33,-225.6654,35.2218,0.4168,0.01,0.4033,0.5867,69,0,DQN_v1
300,300,56,244,33,-227.614,35.2047,0.4186,0.0067,0.4,0.5933,70,0,DQN_v1
300,300,55,245,32,-227.4898,34.9966,0.418,0.01,0.43,0.56,71,0,DQN_v1
300,300,56,244,33,-227.2065,35.0688,0.4162,0.0067,0.4133,0.58,72,0,DQN_v1
300,300,56,244,32,-226.1895,34.7298,0.4183,0.0067,0.4167,0.5767,73,0,DQN_v1
300,300,57,243,32,-225.3416,34.6139,0.4175,0.0067,0.3933,0.6,74,0,DQN_v1
300,300,59,241,33,-226.8525,35.4508,0.4186,0.0067,0.4,0.5933,75,0,DQN_v1
300,300,60,240,33,-225.5399,35.18,0.4184,0.0067,0.4067,0.5867,76,0,DQN_v1
300,300,58,242,32,-225.5291,34.843,0.4195,0.0067,0.3967,0.5967,77,0,DQN_v1
