total_time,total_tasks_created,tasks_accepted,tasks_skipped,tasks_completed,total_reward,avg_queue_time,load_deviation,server_0_freq,server_1_freq,server_2_freq,episode,base_seed,policy
300,300,51,249,24,-217.2591,30.9197,0.4373,0.0,1.0,0.0,56,0,DQN_v2
300,300,50,250,24,-217.3803,30.7934,0.4355,0.0,1.0,0.0,57,0,DQN_v2
300,300,44,256,24,-220.4014,30.8005,0.4356,0.0,1.0,0.0,58,0,DQN_v2
300,300,46,254,24,-219.1336,30.7112,0.4343,0.0,1.0,0.0,59,0,DQN_v2
300,300,49,251,24,-218.0856,30.8619,0.4365,0.0,1.0,0.0,60,0,DQN_v2
300,300,44,256,24,-220.089,30.6963,0.4341,0.0,1.0,0.0,61,0,DQN_v2
300,300,48,252,24,-218.9316,30.9772,0.4381,0.0,1.0,0.0,62,0,DQN_v2
300,300,50,250,24,-217.34,30.78,0.4353,0.0,1.0,0.0,63,0,DQN_v2
300,300,49,251,24,-217.676,30.7253,0.4345,0.0,1.0,0.0,64,0,DQN_v2
300,300,48,252,24,-217.8364,30.6121,0.4329,0.0,1.0,0.0,65,0,DQN_v2
300,300,47,253,24,-219.1624,30.8875,0.4368,0.0,1.0,0.0,66,0,DQN_v2
300,300,48,252,24,-217.8813,30.6271,0.4331,0.0,1.0,0.0,67,0,DQN_v2
300,300,45,255,24,-219.2721,30.5907,0.4326,0.0,1.0,0.0,68,0,DQN_v2
300,300,49,251,24,-218.0214,30.8405,0.4361,0.0,1.0,0.0,69,0,DQN_v2
300,300,47,253,24,-218.6851,30.7284,0.4346,0.0,1.0,0.0,70,0,DQN_v2
300,300,48,252,24,-218.1356,30.7119,0.4343,0.0,1.0,0.0,71,0,DQN_v2
300,300,49,251,24,-217.4241,30.6414,0.4333,0.0,1.0,0.0,72,0,DQN_v2
300,300,49,251,24,-217.6514,30.7171,0.4344,0.0,1.0,0.0,73,0,DQN_v2
300,300,46,254,24,-219.0228,30.6743,0.4338,0.0,1.0,0.0,74,0,DQN_v2
300,300,51,249,24,-217.2058,30.9019,0.437,0.0,1.0,0.0,75,0,DQN_v2
300,300,51,249,24,-216.775,30.7583,0.435,0.0,1.0,0.0,76,0,DQN_v2
300,300,51,249,24,-216.0495,30.5165,0.4316,0.0,1.0,0.0,77,0,DQN_v2
300,300,47,253,24,-218.7678,30.7559,0.435,0.0,1.0,0.0,78,0,DQN_v2
300,300,51,249,24,-216.8035,30.7678,0.4351,0.0,1.0,0.0,79,0,DQN_v2
300,300,46,254,24,-219.6219,30.874,0.4366,0.0,1.0,0.0,80,0,DQN_v2
300,300,49,251,24,-217.8315,30.7772,0.4353,0.0,1.0,0.0,81,0,DQN_v2
300,300,48,252,24,-218.724,30.908,0.4371,0.0,1.0,0.0,82,0,DQN_v2
300,300,47,253,24,-218.7912,30.7637,0.4351,0.0,1.0,0.0,83,0,DQN_v2
300,300,46,254,24,-219.5331,30.8444,0.4362,0.0,1.0,0.0,84,0,DQN_v2
300,300,48,252,24,-218.3826,30.7942,0.4355,0.0,1.0,0.0,85,0,DQN_v2
300,300,44,256,24,-220.5663,30.8554,0.4364,0.0,1.0,0.0,86,0,DQN_v2
300,300,47,253,24,-218.1605,30.5535,0.4321,0.0,1.0,0.0,87,0,DQN_v2
300,300,47,253,24,-218.6112,30.7037,0.4342,0.0,1.0,0.0,88,0,DQN_v2
300,300,48,252,24,-218.1005,30.7002,0.4342,0.0,1.0,0.0,89,0,DQN_v2
300,300,50,250,24,-217.0434,30.6811,0.4339,0.0,1.0,0.0,90,0,DQN_v2
300,300,49,251,24,-218.2756,30.9252,0.4373,0.0,1.0,0.0,91,0,DQN_v2
300,300,50,250,24,-217.1533,30.7178,0.4344,0.0,1.0,0.0,92,0,DQN_v2
300,300,46,254,24,-219.624,30.8747,0.4366,0.0,1.0,0.0,93,0,DQN_v2
300,300,50,250,24,-216.4928,30.4976,0.4313,0.0,1.0,0.0,94,0,DQN_v2
300,300,49,251,24,-218.323,30.941,0.4376,0.0,1.0,0.0,95,0,DQN_v2
300,300,48,252,24,-218.5223,30.8408,0.4362,0.0,1.0,0.0,96,0,DQN_v2
300,300,48,252,24,-218.3608,30.7869,0.4354,0.0,1.0,0.0,97,0,DQN_v2
300,300,47,253,24,-218.3218,30.6073,0.4329,0.0,1.0,0.0,98,0,DQN_v2
300,300,47,253,24,-218.3304,30.6101,0.4329,0.0,1.0,0.0,99,0,DQN_v2
300,300,48,252,24,-218.5032,30.8344,0.4361,0.0,1.0,0.0,100,0,DQN_v2
300,300,46,254,24,-218.7128,30.5709,0.4323,0.0,1.0,0.0,1,1,DQN_v2
300,300,49,251,24,-217.655,30.7183,0.4344,0.0,1.0,0.0,2,1,DQN_v2
