total_time,total_tasks_created,tasks_accepted,tasks_skipped,tasks_completed,total_reward,avg_queue_time,load_deviation,server_0_freq,server_1_freq,server_2_freq,episode,base_seed,policy
300,300,120,180,71,-350.0519,86.684,0.0323,0.3333,0.3333,0.3333,53,0,RoundRobin
300,300,123,177,71,-348.2449,86.5816,0.0342,0.3333,0.3333,0.3333,54,0,RoundRobin
300,300,119,181,71,-350.1296,86.5432,0.0327,0.3333,0.3333,0.3333,55,0,RoundRobin
300,300,118,182,71,-351.646,86.882,0.032,0.3333,0.3333,0.3333,56,0,RoundRobin
300,300,121,179,71,-351.6344,87.3781,0.029,0.3333,0.3333,0.3333,57,0,RoundRobin
300,300,123,177,71,-346.9728,86.1576,0.0335,0.3333,0.3333,0.3333,58,0,RoundRobin
300,300,124,176,71,-348.9653,86.9884,0.0368,0.3333,0.3333,0.3333,59,0,RoundRobin
300,300,120,180,71,-352.2642,87.4214,0.0362,0.3333,0.3333,0.3333,60,0,RoundRobin
300,300,119,181,71,-353.2449,87.5816,0.0291,0.3333,0.3333,0.3333,61,0,RoundRobin
300,300,119,181,71,-351.6792,87.0597,0.0341,0.3333,0.3333,0.3333,62,0,RoundRobin
300,300,114,186,71,-355.3545,87.4515,0.0348,0.3333,0.3333,0.3333,63,0,RoundRobin
300,300,125,175,71,-348.9567,87.1522,0.0287,0.3333,0.3333,0.3333,64,0,RoundRobin
300,300,111,189,71,-355.3251,86.9417,0.0334,0.3333,0.3333,0.3333,65,0,RoundRobin
300,300,119,181,71,-353.0362,87.5121,0.0309,0.3333,0.3333,0.3333,66,0,RoundRobin
300,300,124,176,71,-349.8397,87.2799,0.0329,0.3333,0.3333,0.3333,67,0,RoundRobin
300,300,123,177,71,-347.3943,86.2981,0.0403,0.3333,0.3333,0.3333,68,0,RoundRobin
300,300,118,182,71,-352.8566,87.2855,0.0312,0.3333,0.3333,0.3333,69,0,RoundRobin
300,300,123,177,71,-346.8376,86.1125,0.0405,0.3333,0.3333,0.3333,70,0,RoundRobin
300,300,119,181,71,-349.2204,86.2401,0.0349,0.3333,0.3333,0.3333,71,0,RoundRobin
300,300,120,180,71,-352.3576,87.4525,0.0317,0.3333,0.3333,0.3333,72,0,RoundRobin
300,300,119,181,71,-350.9783,86.8261,0.0306,0.3333,0.3333,0.3333,73,0,RoundRobin
300,300,125,175,71,-349.4304,87.3101,0.0332,0.3333,0.3333,0.3333,74,0,RoundRobin
300,300,123,177,71,-350.042,87.1807,0.0327,0.3333,0.3333,0.3333,75,0,RoundRobin
300,300,121,179,71,-350.5474,87.0158,0.0345,0.3333,0.3333,0.3333,76,0,RoundRobin
300,300,123,177,71,-350.919,87.473,0.0298,0.3333,0.3333,0.3333,77,0,RoundRobin
300,300,125,175,71,-349.2349,87.245,0.0346,0.3333,0.3333,0.3333,78,0,RoundRobin
300,300,114,186,71,-354.3221,87.1074,0.038,0.3333,0.3333,0.3333,79,0,RoundRobin
300,300,121,179,71,-349.3556,86.6185,0.0337,0.3333,0.3333,0.3333,80,0,RoundRobin
300,300,119,181,71,-351.9307,87.1436,0.0339,0.3333,0.3333,0.3333,81,0,RoundRobin
300,300,126,174,71,-348.4351,87.145,0.0289,0.3333,0.3333,0.3333,82,0,RoundRobin
300,300,120,180,71,-351.1172,87.0391,0.0357,0.3333,0.3333,0.3333,83,0,RoundRobin
300,300,125,175,71,-346.4735,86.3245,0.0393,0.3333,0.3333,0.3333,84,0,RoundRobin
300,300,123,177,71,-350.531,87.3437,0.0314,0.3333,0.3333,0.3333,85,0,RoundRobin
300,300,120,180,71,-349.6176,86.5392,0.0322,0.3333,0.3333,0.3333,86,0,RoundRobin
300,300,123,177,71,-347.3092,86.2697,0.0385,0.3333,0.3333,0.3333,87,0,RoundRobin
300,300,120,180,71,-349.8437,86.6146,0.0342,0.3333,0.3333,0.3333,88,0,RoundRobin
300,300,122,178,71,-350.0316,87.0105,0.0313,0.3333,0.3333,0.3333,89,0,RoundRobin
300,300,125,175,71,-345.5414,86.0138,0.0315,0.3333,0.3333,0.3333,90,0,RoundRobin
300,300,122,178,71,-346.6861,85.8954,0.0318,0.3333,0.3333,0.3333,91,0,RoundRobin
300,300,115,185,71,-352.4967,86.6656,0.0369,0.3333,0.3333,0.3333,92,0,RoundRobin
300,300,116,184,71,-350.2468,86.0823,0.0361,0.3333,0.3333,0.3333,93,0,RoundRobin
300,300,117,183,71,-354.2357,87.5786,0.0304,0.3333,0.3333,0.3333,94,0,RoundRobin
300,300,121,179,71,-350.7619,87.0873,0.0331,0.3333,0.3333,0.3333,95,0,RoundRobin
300,300,114,186,71,-353.4389,86.813,0.0343,0.3333,0.3333,0.3333,96,0,RoundRobin
300,300,119,181,71,-348.2615,85.9205,0.0362,0.3333,0.3333,0.3333,97,0,RoundRobin
300,300,121,179,71,-349.1844,86.5615,0.0342,0.3333,0.3333,0.3333,98,0,RoundRobin
300,300,117,183,71,-351.1266,86.5422,0.0319,0.3333,0.3333,0.3333,99,0,RoundRobin
300,300,123,177,71,-345.5399,85.68,0.0358,0.3333,0.3333,0.3333,100,0,RoundRobin
300,300,116,184,71,-353.5973,87.1991,0.0379,0.3333,0.3333,0.3333,1,1,RoundRobin
300,300,121,179,71,-348.9466,86.4822,0.0297,0.3333,0.3333,0.3333,2,1,RoundRobin
300,300,120,180,71,-350.8985,86.9662,0.0298,0.3333,0.3333,0.3333,3,1,RoundRobin
300,300,122,178,71,-348.7346,86.5782,0.0327,0.3333,0.3333,0.3333,4,1,RoundRobin
300,300,123,177,71,-349.6579,87.0526,0.0328,0.3333,0.3333,0.3333,5,1,RoundRobin
