Metric,DQN_v2_mean,DQN_v2_std,RoundRobin_mean,RoundRobin_std
Tổng thời gian chạy (steps),300.0,0.0,300.0,0.0
Tổng số tác vụ đã tạo,300.0,0.0,300.0,0.0
Tác vụ được tiếp nhận,48.08,1.8543,120.2767,3.3751
Tác vụ bị bỏ qua (dropped),251.92,1.8543,179.7233,3.3751
Tác vụ đã hoàn thành (approx.),24.0,0.0,71.0,0.0
Phần thưởng (reward),-218.2657,0.9909,-350.3109,2.5625
Tổng queue time trung bình,30.7686,0.1162,86.8164,0.5348
Độ lệch tải (std utilization),0.4351,0.0016,0.0339,0.0028
Tần suất chọn Server 0,0.0,0.0,0.3333,0.0
Tần suất chọn Server 1,1.0,0.0,0.3333,0.0
Tần suất chọn Server 2,0.0,0.0,0.3333,0.0
