Episode,"Case 1: α=0.5, γ=0.2, ε=0.1","Case 2: α=0.1, γ=0.95, ε=0.2","Case 3: α=0.1, γ=0.8, ε=0.7"
199,24.5,24.5,-6.5
200,23.5,18.0,-4.5
201,22.5,-16.5,-13.5
202,21.0,-4.5,-7.0
203,22.5,24.0,-17.0
204,0.0,24.0,-1.5
205,22.0,22.5,-7.5
206,23.5,-1.5,-4.0
207,-0.5,-1.5,-4.0
208,23.0,-11.5,-18.0
209,22.0,23.5,-9.5
210,23.0,23.5,-7.0
211,18.0,-8.0,-16.0
212,-3.0,22.5,-8.0
213,23.5,-5.0,20.0
214,-3.0,0.5,-6.5
215,19.5,23.5,-4.5
216,15.0,22.0,-11.5
217,24.5,23.5,-9.5
218,22.0,0.0,-5.0
219,21.5,23.0,-6.5
220,20.5,-1.0,-5.5
221,23.5,22.0,-3.0
222,-3.0,-2.0,-8.5
223,-7.0,-0.5,-4.5
224,23.5,23.5,-24.5
225,23.5,-6.0,-6.5
226,23.5,-4.0,-7.0
227,23.5,21.0,-4.0
228,23.0,22.0,-4.0
229,-2.5,-4.5,17.0
230,23.5,-1.5,15.0
231,-4.0,23.5,-6.0
232,23.0,24.5,-8.5
233,-6.0,-2.5,-3.0
234,1.5,23.5,-7.0
235,10.5,-5.5,-6.0
236,16.5,23.0,17.5
237,1.5,24.0,-2.0
238,0.0,22.5,15.5
239,2.5,22.5,-3.0
240,-1.0,20.5,-3.5
241,23.0,14.0,-6.0
242,22.0,-3.5,-3.5
243,22.0,23.5,-6.0
244,13.0,-3.0,-8.5
245,23.5,24.0,-7.5
246,-7.0,-4.5,-10.5
247,23.5,-14.0,-7.5
248,24.5,20.5,-10.0
249,23.0,-3.0,-6.0
250,0.0,24.5,-10.0
251,23.5,-3.0,-4.5
252,0.5,24.5,-5.5
253,25.0,23.5,-4.0
254,-7.5,21.5,-12.5
255,23.5,21.5,-2.5
256,15.5,24.5,-10.0
257,17.5,24.5,-6.0
258,24.5,24.5,-5.0
259,-4.5,22.5,-2.0
260,23.5,22.0,-10.5
261,24.5,24.5,-13.5
262,-1.0,-14.5,-7.0
263,19.0,24.5,-5.5
264,-11.0,23.0,-5.5
265,-7.0,2.0,-5.5
266,18.0,23.5,-7.0
267,-2.5,20.5,-7.5
268,-0.5,24.0,-4.5
269,19.0,-3.5,-2.5
270,23.0,23.0,-5.0
271,23.0,24.5,-6.0
272,22.5,24.5,-7.0
273,23.5,-8.5,-5.0
274,23.5,-1.0,-7.0
275,20.5,23.5,-5.5
276,-3.5,23.5,-5.0
277,23.0,-1.5,-5.0
278,23.5,1.0,-15.0
279,23.5,-4.0,-17.5
280,19.5,18.5,-3.0
281,23.5,22.5,-6.5
282,23.5,23.0,-6.5
283,22.5,24.5,-3.5
284,23.5,22.5,-3.5
285,24.0,23.5,-14.5
286,-16.0,22.0,-6.0
287,23.0,-3.0,-12.0
288,23.0,1.0,-7.0
289,24.0,-2.0,-14.0
290,23.5,-2.0,-15.5
291,23.0,22.0,-7.5
292,22.0,23.0,-4.0
293,22.5,3.0,-6.0
294,-5.5,-3.5,-7.5
295,25.0,24.0,-6.5
296,-6.5,23.0,-4.5
