Episode,"Case 1: α=0.5, γ=0.2, ε=0.1","Case 2: α=0.1, γ=0.95, ε=0.2","Case 3: α=0.1, γ=0.8, ε=0.7"
880,24.0,22.0,-9.0
881,23.0,22.5,-5.0
882,23.0,24.0,-7.0
883,22.0,22.0,-3.0
884,22.0,-7.5,-8.5
885,22.5,-5.0,-0.5
886,23.0,13.5,-7.0
887,22.0,-1.5,-5.5
888,22.5,-5.0,-7.5
889,23.0,22.0,18.0
890,23.0,22.5,-6.0
891,22.5,18.5,-3.0
892,22.5,23.5,-3.5
893,20.0,24.0,-3.5
894,20.5,19.5,-6.5
895,22.5,22.0,-6.5
896,22.5,-3.0,-5.0
897,22.0,-1.0,8.0
898,23.5,22.0,-5.5
899,22.5,22.0,-10.0
900,23.0,24.0,-4.5
901,-0.5,22.5,-13.0
902,23.0,23.0,-5.5
903,22.5,24.5,-5.0
904,21.0,-5.5,-5.0
905,23.0,23.5,9.5
906,23.0,-1.5,20.5
907,10.0,24.5,-7.0
908,24.5,24.0,-7.5
909,-4.5,-4.5,-7.0
910,23.0,0.0,-10.0
911,20.0,-1.0,17.0
912,23.0,23.5,-3.0
913,22.0,24.5,-6.5
914,22.5,24.5,-3.5
915,22.5,24.5,-5.0
916,-4.0,24.0,17.5
917,-2.5,-6.0,-8.0
918,-7.0,-3.0,4.5
919,22.5,23.5,-15.0
920,-7.0,-4.5,-3.5
921,21.5,24.5,-13.0
922,-2.5,21.0,11.5
923,23.5,-1.5,-6.0
924,22.5,20.5,-3.0
925,14.0,-5.0,-5.5
926,13.0,23.5,-6.5
927,22.0,1.5,-7.0
928,23.0,22.0,-7.0
929,21.0,23.0,-9.5
930,22.5,-6.0,-8.0
931,23.5,21.0,-3.5
932,22.5,-1.5,-6.0
933,-7.0,22.0,13.0
934,-1.5,24.0,-4.5
935,23.0,1.0,-8.0
936,22.5,22.5,-2.5
937,20.0,24.0,17.5
938,21.0,24.0,-4.5
939,1.0,22.5,-7.5
940,23.5,22.0,-6.0
941,23.5,-2.5,-5.0
942,18.5,22.0,-5.5
943,1.0,17.5,-4.0
944,24.0,19.0,20.0
945,-7.0,24.0,-17.0
946,-3.0,19.0,-5.0
947,24.0,21.5,14.0
948,23.0,22.0,17.0
949,22.5,23.0,-2.5
950,23.0,23.5,-7.0
951,-3.0,-1.5,17.0
952,23.5,22.5,-1.0
953,-4.0,24.0,-6.5
954,22.0,24.5,-9.5
955,23.5,-18.5,-11.5
956,22.5,20.5,-11.5
957,22.5,-3.0,14.5
958,24.0,23.5,-7.5
959,22.5,20.0,-6.0
960,23.5,-2.0,10.5
961,23.0,24.5,-15.0
962,23.0,-6.0,-17.5
963,24.5,24.5,-4.0
964,1.0,-3.5,-6.5
965,16.5,21.5,8.5
966,24.0,-2.0,-7.5
967,21.5,20.5,20.0
968,-6.0,14.5,-6.0
969,22.5,23.5,-5.5
970,23.0,23.0,-2.0
971,22.5,21.5,-5.0
972,22.0,18.5,21.5
973,23.0,20.5,-7.5
974,23.0,19.0,-10.5
975,22.0,23.5,-3.5
976,22.0,20.5,-7.0
977,-7.0,24.0,-6.5
978,22.5,24.5,-7.0
979,23.0,22.0,-6.5
980,21.5,22.5,-6.5
981,21.0,24.0,-6.5
982,20.0,22.0,-10.5
983,23.0,23.5,17.5
984,22.0,-3.0,-2.0
985,22.0,21.5,-5.0
986,23.0,23.0,-3.5
987,23.0,24.5,-2.5
988,-6.5,20.0,-5.5
989,23.0,22.0,-11.5
990,22.0,24.5,-15.0
991,1.0,22.0,-4.0
992,3.0,23.0,-10.5
993,23.0,20.5,-15.0
994,21.5,24.0,-4.0
995,22.5,-2.0,-8.0
996,23.0,22.0,-7.5
997,23.0,21.0,-6.0
998,21.0,-3.0,-5.5
999,-2.5,24.5,-2.5
1000,20.5,23.0,-7.5
1001,18.0,20.5,-5.5
1002,-3.0,24.5,-5.0
1003,22.5,24.5,-5.0
1004,22.0,24.0,-8.0
1005,22.5,22.5,-12.5
1006,23.0,16.0,-4.5
1007,-7.5,0.5,-6.0
1008,22.5,22.5,-6.5
1009,23.0,21.5,-7.5
1010,23.0,24.0,-1.0
1011,22.5,-5.5,-5.0
1012,20.5,24.0,-1.0
1013,23.0,-2.5,-7.0
1014,22.0,24.0,-7.0
1015,25.0,23.5,-5.5
1016,23.0,24.5,-5.5
1017,-4.0,-7.0,-2.5
1018,21.5,22.5,-7.0
1019,20.5,22.5,-8.5
1020,24.0,22.5,-9.5
1021,23.0,24.5,11.0
1022,17.0,24.5,18.0
1023,23.5,23.0,-3.0
1024,-1.5,22.5,8.0
1025,22.5,23.0,-16.0
1026,22.0,21.5,13.0
1027,21.5,18.0,-11.0
1028,22.5,-4.5,-8.5
1029,20.5,21.5,-4.0
1030,23.0,24.5,1.5
1031,23.0,24.5,-5.5
1032,22.5,21.5,-4.5
1033,24.0,24.5,-12.0
1034,19.5,24.0,-6.0
1035,-4.5,-6.5,-2.0
1036,24.5,21.5,0.0
1037,23.5,24.0,16.5
1038,0.0,24.5,-9.5
1039,24.5,17.0,-5.5
1040,23.5,23.5,0.0
1041,21.0,18.5,-4.5
1042,23.5,22.0,-11.5
1043,24.0,21.5,-8.5
1044,24.5,-2.0,-16.0
1045,24.0,22.0,-4.5
1046,23.5,21.5,19.5
1047,24.0,21.5,-4.5
1048,24.5,23.5,-0.5
1049,23.0,23.0,-12.0
1050,24.0,23.5,-1.0
1051,22.5,22.5,-7.5
1052,24.0,-1.5,-4.0
1053,-4.0,23.0,-6.0
1054,23.5,2.0,21.0
1055,23.0,21.5,-5.5
1056,-1.0,23.5,-5.5
1057,23.0,23.5,-6.5
1058,23.5,0.0,-12.0
1059,24.5,24.5,19.0
1060,24.5,22.0,-1.5
1061,24.5,23.5,19.5
1062,24.5,21.0,-4.5
1063,-2.5,23.5,-11.5
1064,-4.0,22.0,-5.5
1065,24.5,24.0,-6.0
1066,24.0,24.5,22.0
1067,-2.0,-0.5,-1.0
1068,19.5,22.0,-4.0
1069,24.0,-0.5,-8.5
1070,23.5,-0.5,-6.0
1071,24.5,24.0,-6.0
1072,24.5,24.0,17.0
1073,17.0,24.0,-11.0
1074,24.0,22.5,-7.0
1075,23.0,23.5,-5.0
1076,24.0,-2.5,-5.5
1077,13.0,21.0,-12.0
1078,23.5,23.0,-10.0
1079,-6.0,24.0,7.0
1080,24.5,0.5,-6.0
1081,-1.0,-5.5,-3.5
1082,23.5,-1.5,-6.5
1083,24.0,24.0,-19.0
1084,-1.5,24.5,12.0
1085,24.5,24.0,-3.0
1086,24.5,1.0,-4.0
1087,-3.5,21.5,17.0
1088,-9.5,24.0,-4.0
1089,23.5,23.0,15.0
1090,-4.0,22.5,19.5
1091,23.5,-2.0,-4.0
1092,1.5,-0.5,-4.5
1093,24.5,-4.5,-4.5
1094,24.5,21.5,-11.0
1095,24.5,-2.0,-6.0
1096,24.5,21.5,-8.0
1097,22.5,20.5,-12.0
1098,24.5,-7.0,12.0
1099,24.5,22.5,-14.0
1100,23.5,23.5,-15.0
1101,24.5,23.0,-6.5
1102,1.0,21.5,-6.5
1103,23.5,23.5,-20.5
1104,22.0,23.5,17.5
1105,19.0,19.5,-4.5
1106,24.5,0.0,-5.0
1107,24.5,20.5,-12.5
1108,23.5,1.5,-10.0
1109,24.0,24.0,-9.0
1110,-6.0,23.0,-5.5
1111,24.5,-4.5,13.5
1112,24.0,-5.0,-8.0
1113,24.5,23.0,17.5
1114,-2.0,23.5,-5.5
1115,24.5,24.5,-6.0
1116,21.0,23.5,-11.5
1117,23.5,22.0,18.5
1118,-1.0,23.5,-3.5
1119,24.0,17.0,-7.0
1120,23.5,-8.0,-5.5
1121,23.5,0.0,-10.5
1122,24.5,24.5,-7.5
1123,24.0,23.0,-5.5
1124,24.5,24.0,-3.5
1125,24.5,21.5,-3.5
1126,24.5,23.5,-16.5
1127,22.0,-3.5,-3.0
1128,2.5,20.0,-13.5
1129,22.0,23.5,-7.5
1130,24.5,-6.0,-4.5
1131,22.0,20.0,-4.0
1132,-4.0,21.5,-7.0
1133,24.0,-9.5,-3.0
1134,13.5,-6.0,-3.0
1135,24.5,23.0,-4.5
1136,22.5,0.5,-4.5
1137,-4.5,21.5,-6.0
1138,-4.0,-0.5,-7.5
1139,-1.5,23.5,-12.0
1140,24.0,0.5,-7.0
1141,-6.5,2.5,-5.5
1142,-9.0,1.0,-6.5
1143,24.0,23.5,-8.5
1144,19.0,24.5,-12.0
1145,-2.0,22.0,-8.0
1146,-2.0,22.5,-3.0
1147,24.5,22.0,2.5
1148,24.0,-1.5,-8.5
1149,-5.5,23.0,-4.5
1150,23.0,21.5,-10.0
1151,22.5,21.5,-5.0
1152,23.5,24.5,-2.0
1153,24.5,23.5,-5.5
1154,24.0,-4.0,0.0
1155,24.0,1.0,-2.5
1156,24.5,24.0,19.5
1157,-4.0,24.0,-2.0
1158,19.5,24.0,-6.0
1159,24.0,24.5,-7.0
1160,22.5,21.0,-4.5
1161,22.5,24.5,-6.5
1162,23.0,23.0,-9.5
1163,24.0,17.0,-14.0
1164,0.0,23.5,-5.5
1165,24.5,24.0,-7.5
1166,24.5,24.0,8.5
1167,23.5,1.5,-3.5
1168,24.5,-4.0,-5.5
1169,24.0,20.0,-6.0
1170,-7.5,24.0,-7.0
1171,24.0,-5.0,-5.5
1172,24.5,1.5,-5.5
1173,24.5,22.5,-9.5
1174,23.0,24.0,-5.5
1175,-1.5,21.5,-5.0
1176,25.0,22.5,-6.0
1177,23.5,23.5,-9.5
1178,19.5,1.0,-2.5
1179,24.5,22.5,18.0
1180,24.5,24.0,-7.0
1181,24.5,-5.0,18.0
1182,24.5,24.0,-8.5
1183,-4.5,24.0,-3.5
1184,1.5,23.5,-22.5
1185,24.0,24.5,-9.5
1186,23.0,24.0,-5.0
1187,23.0,23.0,-5.0
1188,24.5,24.0,12.5
1189,23.5,1.5,-6.0
1190,24.0,23.0,-7.0
1191,24.5,-5.5,-3.5
1192,-2.0,23.0,-5.0
1193,22.0,21.5,-6.5
1194,23.5,22.5,-2.0
1195,24.0,23.0,-12.5
1196,20.0,0.5,-6.5
1197,24.0,-3.5,-4.0
1198,18.0,23.0,-5.0
1199,24.5,22.5,-12.0
1200,23.5,2.0,-11.5
1201,0.0,24.5,-6.5
1202,23.5,16.5,0.5
1203,-2.0,24.5,12.0
1204,24.5,24.0,12.5
1205,24.5,17.0,-7.5
1206,24.5,23.5,-6.0
1207,-1.0,24.0,-4.0
1208,22.5,22.0,-8.0
1209,21.5,-8.0,-6.5
1210,24.5,22.5,-5.0
1211,24.5,19.5,-4.0
1212,24.0,0.5,-2.0
1213,24.5,24.5,-10.0
1214,23.5,23.5,20.0
1215,25.0,-2.5,-7.0
1216,-7.0,23.5,-6.5
1217,24.5,-2.0,-8.5
1218,23.5,23.5,-7.5
1219,24.0,-2.0,-3.0
1220,23.5,1.0,-1.0
1221,24.0,22.5,-26.5
1222,24.5,22.0,-7.0
1223,24.5,2.5,22.5
1224,-2.5,20.5,-1.0
1225,24.5,-5.0,-7.0
1226,24.0,24.0,-12.0
1227,23.5,23.5,-2.5
1228,22.5,22.5,-7.0
1229,23.0,23.5,22.5
1230,16.0,-5.0,-6.5
1231,-4.0,22.5,-11.0
1232,24.5,22.0,-11.5
1233,1.0,17.5,-5.5
1234,-6.5,24.5,17.5
1235,23.0,23.5,-8.0
1236,22.5,23.5,-3.5
1237,24.0,16.5,-5.0
1238,24.0,21.5,-5.0
1239,24.5,22.5,-1.0
1240,22.5,23.0,-8.0
1241,24.5,24.5,-1.0
1242,24.5,-3.0,13.5
1243,23.0,-5.0,-8.0
1244,23.0,24.0,-1.0
1245,24.0,22.5,-5.0
1246,24.0,-2.0,11.5
1247,24.5,22.5,-9.0
1248,23.5,22.5,-10.5
1249,24.0,23.5,-6.0
1250,23.0,18.5,8.5
1251,24.5,24.5,-6.5
1252,24.0,24.0,-9.0
1253,24.5,23.0,16.5
1254,24.5,-2.0,-4.5
1255,24.0,22.0,-5.5
1256,-3.5,-2.5,-12.5
1257,22.0,23.0,-7.0
1258,24.5,21.0,21.5
1259,24.0,21.5,-9.5
1260,23.0,-3.5,1.5
1261,22.0,23.0,3.0
1262,24.5,24.5,-5.5
1263,24.5,20.5,-6.0
1264,24.5,21.5,19.0
1265,24.5,23.5,-5.5
1266,23.0,23.0,17.5
1267,24.5,-2.5,15.5
1268,14.0,-1.5,-6.5
1269,24.5,-2.5,-3.0
1270,21.0,23.0,-6.5
1271,-1.5,1.0,-5.5
1272,24.0,23.0,0.0
1273,24.0,23.5,-6.5
1274,23.5,23.5,-5.5
1275,23.0,1.0,-7.5
1276,21.0,22.0,16.0
1277,23.5,-8.5,-8.5
1278,23.5,23.5,-11.5
1279,24.0,23.5,-7.0
1280,21.5,24.0,-4.0
1281,24.5,-3.0,-4.0
1282,24.5,21.5,-7.0
1283,21.5,19.0,-2.5
1284,23.5,23.5,-11.0
1285,-7.0,24.0,-6.5
1286,24.0,24.0,-7.5
1287,-0.5,21.0,8.5
1288,24.5,-3.5,16.5
1289,24.5,-3.5,14.5
1290,23.5,24.5,16.5
1291,24.5,24.0,-10.0
1292,18.0,22.0,-3.5
1293,24.5,22.5,-4.5
1294,24.5,22.0,-6.5
1295,21.5,22.5,-10.5
1296,22.5,24.0,-6.5
1297,23.5,21.5,-3.5
1298,24.5,24.0,18.5
1299,24.5,23.0,-5.5
1300,24.5,19.5,-6.0
1301,24.5,-1.0,20.5
1302,23.5,24.5,11.5
1303,23.5,-6.0,-5.5
1304,24.0,24.5,-6.5
1305,24.5,0.0,-4.0
1306,24.5,23.5,-9.5
1307,24.5,20.5,-6.0
1308,22.5,-5.0,-1.0
1309,24.5,23.5,14.0
1310,25.0,24.5,-5.5
1311,24.5,23.0,13.5
1312,24.0,0.0,-5.5
1313,24.0,-2.0,12.5
1314,24.5,16.0,-2.5
1315,24.5,-1.0,-1.5
1316,24.5,23.5,-7.5
1317,24.0,22.5,-5.5
1318,-4.0,-3.0,12.5
1319,23.5,22.5,-2.0
1320,24.5,22.0,-7.5
1321,24.5,23.5,-10.0
1322,24.5,0.5,-5.0
1323,-4.0,23.0,-7.5
1324,-2.0,23.5,14.5
1325,24.5,2.5,-9.0
1326,24.5,21.5,-10.0
1327,24.5,0.0,-2.0
1328,25.0,-2.5,-12.0
1329,23.5,24.0,17.0
1330,24.0,-0.5,-6.0
1331,23.0,-1.0,18.0
1332,23.0,22.5,-7.5
1333,24.5,23.5,17.5
1334,22.0,22.5,-2.5
1335,24.0,-6.0,-4.5
1336,22.5,23.0,-5.0
1337,24.0,22.0,-8.0
1338,22.0,19.0,-7.0
1339,23.0,23.5,17.5
1340,24.0,23.5,-7.5
1341,24.5,24.0,-5.5
1342,24.5,24.0,-10.5
1343,24.0,24.5,-7.5
1344,22.5,23.5,-8.5
1345,24.0,2.0,15.0
1346,24.5,-1.5,-15.0
1347,23.5,24.5,-6.0
1348,-8.0,21.0,-11.0
1349,23.5,-1.5,-12.5
1350,23.5,23.0,-6.0
1351,23.5,24.0,-9.0
1352,-2.5,22.0,-3.0
1353,22.5,24.0,-9.5
1354,24.0,24.5,15.5
1355,-3.0,21.5,-5.5
1356,24.0,23.0,-2.0
1357,23.5,24.5,-23.0
1358,23.0,23.5,24.0
1359,23.5,22.0,-11.5
1360,24.5,23.0,20.5
1361,21.5,24.5,-1.5
1362,24.5,0.0,-7.0
1363,-4.0,24.5,-4.5
1364,-4.0,21.5,-4.5
1365,24.5,23.5,-7.5
1366,23.5,21.0,-6.5
1367,24.5,-4.0,-2.0
1368,23.0,2.5,14.0
1369,-7.0,-2.5,-6.5
1370,2.0,24.5,-9.0
1371,22.0,2.5,-10.5
1372,23.5,21.0,-6.0
1373,23.5,23.0,-10.0
1374,24.5,24.5,0.0
1375,24.0,23.0,17.5
1376,24.5,24.0,-7.5
1377,24.5,23.5,-4.5
1378,24.5,23.5,-1.0
1379,24.5,21.5,-2.0
1380,-5.0,24.0,-7.5
1381,23.5,22.0,-5.5
1382,24.5,20.0,-13.0
1383,24.5,21.5,20.0
1384,24.5,20.5,-10.5
1385,-3.0,-16.0,-6.0
1386,23.5,21.5,-5.0
1387,23.5,17.5,-7.5
1388,23.0,24.0,11.0
1389,23.5,23.5,-3.5
1390,24.5,-2.0,-1.5
1391,24.5,17.5,12.5
1392,24.0,23.5,-5.0
1393,24.5,-4.5,-5.5
1394,24.5,24.0,-12.0
1395,22.5,22.5,-2.0
1396,23.5,23.5,-5.0
1397,24.5,24.5,-3.5
1398,23.5,23.5,6.5
1399,24.5,-2.0,-5.0
1400,23.5,23.5,-5.5
1401,23.0,22.5,-10.0
1402,24.0,22.5,-5.5
1403,22.5,2.5,-6.0
1404,24.5,12.5,-4.5
1405,24.5,24.5,-5.0
1406,-0.5,0.0,-4.5
1407,24.0,1.5,-3.5
1408,23.5,21.5,-6.5
1409,-3.5,22.0,17.0
1410,22.5,23.0,-12.0
1411,24.5,23.5,-3.5
1412,24.0,23.5,-5.5
1413,24.5,21.5,-13.0
1414,23.0,24.0,-5.0
1415,23.5,23.5,-4.5
1416,24.5,20.5,-7.0
1417,24.5,21.5,-21.0
1418,22.0,-0.5,-5.0
1419,24.5,24.5,12.5
1420,24.5,24.0,21.5
1421,24.5,24.0,-6.5
1422,24.5,24.5,-7.5
1423,-2.5,-2.5,21.0
1424,23.5,22.0,22.5
1425,18.5,23.0,-8.0
1426,24.5,24.0,-5.5
1427,22.5,22.5,-5.0
1428,24.5,1.5,10.5
1429,-12.0,22.0,-6.0
1430,24.5,-2.5,12.0
1431,22.5,23.5,-3.0
1432,24.5,0.5,-6.0
1433,24.5,23.0,-0.5
1434,24.0,24.0,-7.0
1435,23.0,24.0,-6.5
1436,24.5,0.0,-6.5
1437,24.0,22.0,7.5
1438,24.0,21.5,-8.0
1439,24.5,23.5,-6.5
1440,23.5,24.5,16.0
1441,24.0,23.5,-2.0
1442,24.5,22.0,-7.0
1443,23.0,22.5,-3.5
1444,24.5,22.5,-9.0
1445,24.5,22.0,-5.0
1446,23.5,24.0,-4.5
1447,23.5,19.0,-8.5
1448,23.0,23.0,-2.0
1449,23.5,24.0,-5.5
1450,23.5,24.5,-8.5
1451,-4.0,-2.0,-12.0
1452,24.5,-2.5,-2.5
1453,-4.0,-3.0,-7.0
1454,24.5,24.5,-6.0
1455,23.5,24.0,-6.5
1456,-2.0,20.0,-7.0
1457,24.0,-2.0,-1.0
1458,3.0,-2.5,-5.0
1459,24.5,1.5,-7.5
1460,23.0,19.5,-7.5
1461,24.5,-8.5,9.5
1462,23.5,24.5,-3.0
1463,24.5,-2.0,-7.0
1464,24.5,23.5,-4.0
1465,2.0,22.5,-10.0
1466,23.5,-1.0,-9.5
1467,24.0,22.5,-9.5
1468,24.0,20.5,6.0
1469,24.5,23.0,-7.5
1470,-4.0,1.0,17.0
1471,23.5,22.5,-7.5
1472,21.5,24.5,-5.5
1473,24.0,23.0,-10.5
1474,22.5,22.5,-4.5
1475,0.0,-5.5,-7.5
1476,24.5,19.0,-12.5
1477,23.5,22.5,-6.0
1478,23.5,23.5,-4.5
1479,23.5,20.5,-9.5
1480,24.5,23.5,19.0
1481,-2.0,-1.0,-9.0
1482,23.5,2.5,-8.5
1483,24.5,-2.5,1.5
1484,21.0,-3.5,-9.5
1485,21.5,0.5,-11.0
1486,23.0,2.5,-7.5
1487,24.0,-3.0,-6.5
1488,24.5,23.0,-0.5
1489,24.5,23.5,-6.0
1490,24.0,20.0,19.0
1491,24.5,1.0,-16.5
1492,23.0,24.0,-7.5
1493,24.0,23.0,-6.5
1494,24.5,-1.5,0.5
1495,24.5,24.5,-6.0
1496,24.0,24.0,-10.0
1497,20.0,1.5,-4.5
1498,16.5,22.5,17.5
1499,23.5,21.5,20.0
1500,24.5,20.5,-18.5
1501,24.5,15.5,-7.0
1502,-3.0,23.0,-9.5
1503,24.5,21.0,-7.5
1504,24.0,23.0,-7.0
1505,-4.0,2.0,-6.5
1506,24.5,24.5,-3.5
1507,23.0,2.5,-8.0
1508,23.5,23.0,11.5
1509,24.0,-3.0,18.5
1510,24.5,1.5,17.0
1511,25.0,22.5,-4.5
1512,24.5,23.5,-5.5
1513,24.5,23.5,13.0
1514,24.5,-4.0,-6.5
1515,23.5,23.5,-5.5
1516,24.0,24.0,-8.5
1517,24.5,24.0,6.0
1518,24.5,22.5,-6.0
1519,22.5,22.5,-6.5
1520,24.0,22.0,-2.5
1521,23.5,22.5,17.5
1522,21.0,22.0,16.0
1523,23.5,22.5,-9.5
1524,24.5,2.0,-4.5
1525,22.0,23.5,-15.5
1526,23.0,23.5,-6.0
1527,24.5,-2.5,-4.5
1528,23.0,24.5,-13.0
1529,24.0,24.0,21.5
1530,24.5,-2.0,-8.5
1531,24.5,21.5,-4.0
1532,23.5,19.5,-5.0
1533,24.5,23.5,-6.0
1534,23.5,23.5,-6.0
1535,24.5,22.5,-10.5
1536,24.0,23.5,-3.0
1537,21.5,-2.0,-1.5
1538,24.5,24.0,-1.5
1539,24.5,-2.0,-6.5
1540,1.0,24.5,13.0
1541,24.5,24.5,-1.0
1542,23.0,24.5,-1.0
1543,24.0,24.5,-5.5
1544,22.5,-0.5,-4.0
1545,24.5,-1.5,-8.5
1546,24.0,-3.5,-7.0
1547,22.0,24.0,-8.5
1548,23.5,22.5,-5.0
1549,23.5,21.5,-5.0
1550,-5.5,0.5,-5.0
1551,24.0,22.0,-2.5
1552,24.5,21.0,-3.0
1553,24.5,23.5,-6.0
1554,23.0,24.5,19.5
1555,23.5,24.0,0.5
1556,23.5,-6.5,13.5
1557,1.0,22.5,-6.5
1558,24.0,24.0,-4.5
1559,23.5,-1.0,-8.0
1560,24.0,-4.5,-6.0
1561,24.5,23.5,11.0
1562,24.5,21.5,-9.0
1563,22.0,18.0,-14.5
1564,24.5,24.5,-3.5
1565,-4.0,24.5,-6.5
1566,0.5,24.5,-3.0
1567,-6.0,22.0,-5.0
1568,-5.5,23.0,-20.0
1569,25.0,24.5,0.5
1570,-1.0,0.5,-4.5
1571,24.5,-1.0,-6.0
1572,24.5,19.0,-4.5
1573,-6.5,0.5,-5.0
1574,23.5,22.5,-2.0
1575,25.0,21.5,-10.5
1576,25.0,-3.0,-5.0
1577,24.5,2.5,17.5
1578,24.5,24.5,20.0
1579,25.0,23.0,-7.5
1580,-4.0,21.0,-8.0
1581,1.0,24.5,-13.5
1582,25.0,21.0,-5.5
1583,24.0,0.5,-4.5
1584,-3.5,23.5,-5.0
1585,25.0,23.0,-8.0
1586,24.5,24.5,-5.0
1587,25.0,24.0,-4.5
1588,24.0,23.5,-7.5
1589,22.5,20.5,11.0
1590,-5.0,24.5,-6.5
1591,24.0,13.5,-7.0
1592,24.0,-5.0,-9.5
1593,24.5,23.0,19.5
1594,23.5,23.5,16.5
1595,-10.5,21.0,-6.5
1596,25.0,24.5,-5.5
1597,20.0,-0.5,-5.0
1598,25.0,24.5,-8.5
1599,19.5,-2.0,18.0
1600,23.0,-4.0,-7.5
1601,1.0,24.5,-2.5
1602,25.0,-6.0,-8.0
1603,25.0,24.0,-8.0
1604,25.0,-4.5,-3.5
1605,24.5,23.5,-9.0
1606,16.0,23.0,-8.0
1607,24.5,-1.5,-2.5
1608,25.0,21.5,-7.0
1609,24.0,24.0,-4.5
1610,24.0,1.5,-8.0
1611,25.0,23.5,-4.5
1612,-6.0,23.5,-1.0
1613,25.0,24.0,-2.0
1614,23.0,22.5,-11.5
1615,23.5,-4.0,-5.0
1616,2.5,23.5,16.5
1617,24.0,24.0,-7.5
1618,-0.5,22.0,5.5
1619,21.0,-13.0,-5.5
1620,24.5,21.5,-7.0
1621,24.5,23.5,-4.5
1622,-6.0,23.5,19.5
1623,25.0,22.5,-14.5
1624,24.5,22.5,-5.0
1625,25.0,24.0,-5.0
1626,25.0,23.5,-13.0
1627,25.0,20.5,-7.5
1628,23.0,22.5,-7.5
1629,24.0,23.0,10.5
1630,24.5,24.5,-4.5
1631,23.0,23.5,-13.5
1632,24.5,0.0,-12.0
1633,25.0,-4.0,16.0
1634,25.0,22.5,-7.5
1635,24.0,24.0,-7.0
1636,25.0,24.5,-8.5
1637,23.5,24.0,-5.5
1638,23.5,24.0,-7.0
1639,24.0,0.0,-6.0
1640,1.0,-3.0,-7.0
1641,22.0,23.5,-2.5
1642,25.0,21.5,-9.5
1643,23.0,23.0,-6.0
1644,24.5,24.5,16.5
1645,-3.0,23.0,-8.5
1646,20.0,23.5,-5.5
1647,24.0,-1.5,-5.5
1648,24.5,24.0,-6.5
1649,24.0,23.5,13.5
1650,24.5,24.0,14.5
1651,24.5,23.0,-7.5
1652,25.0,-2.0,-4.5
1653,-5.0,-1.0,-13.5
1654,22.0,23.0,-3.5
1655,25.0,24.0,-7.0
1656,25.0,21.5,13.5
1657,3.0,24.0,-5.0
1658,25.0,22.0,-5.5
1659,5.5,22.5,-6.0
1660,23.5,19.5,-6.5
1661,25.0,22.0,-5.0
1662,23.5,22.5,-5.5
1663,24.5,23.0,-2.5
1664,25.0,0.5,7.5
1665,25.0,24.5,-9.5
1666,25.0,-4.0,-8.0
1667,25.0,24.0,-6.5
1668,24.0,-5.0,-7.0
1669,-5.5,23.5,11.0
1670,25.0,21.5,-5.5
1671,-4.0,2.0,-15.5
1672,22.5,24.0,-6.0
1673,25.0,1.5,-9.0
1674,24.5,23.0,-9.0
1675,24.5,24.0,-15.5
1676,-2.0,24.5,-6.5
1677,21.5,-5.0,-8.5
1678,25.0,2.5,4.5
1679,21.5,-4.5,16.0
1680,-4.0,23.0,-6.5
1681,24.0,22.5,-9.0
1682,24.0,24.5,16.5
1683,25.0,24.0,23.5
1684,24.5,-6.0,17.0
1685,24.5,-5.0,-4.5
1686,24.5,-1.5,-13.5
1687,24.5,-3.0,-4.5
1688,24.0,0.0,-5.5
1689,25.0,23.0,-6.0
1690,-1.0,21.0,19.0
1691,24.5,-3.0,-1.0
1692,25.0,24.0,-5.0
1693,24.5,24.0,-16.5
1694,24.0,23.0,19.5
1695,25.0,23.5,-7.0
1696,25.0,-2.5,-10.5
1697,25.0,24.5,-8.0
1698,24.5,24.0,-6.0
1699,24.0,23.5,-5.5
1700,23.5,22.0,-2.5
1701,23.0,24.0,18.5
1702,25.0,-2.5,-12.5
1703,24.5,21.0,20.0
1704,25.0,22.0,7.0
1705,3.0,24.5,-6.5
1706,24.5,23.5,-22.0
1707,25.0,2.5,-7.5
1708,24.0,21.0,-3.0
1709,-1.0,-4.0,-7.0
1710,23.5,21.5,-2.0
1711,24.5,23.0,6.0
1712,25.0,-1.5,16.0
1713,24.0,24.5,-7.5
1714,25.0,21.0,-5.0
1715,24.5,18.5,21.5
1716,23.5,22.5,-6.0
1717,25.0,22.5,-13.5
1718,25.0,23.0,-11.5
1719,24.0,23.0,-2.5
1720,22.0,22.5,18.5
1721,0.5,23.5,-1.5
1722,17.5,24.5,-3.5
1723,25.0,-1.5,6.5
1724,24.5,-2.5,-4.0
1725,23.5,23.5,-5.0
1726,1.0,19.0,-3.5
1727,25.0,-3.0,-5.5
1728,24.5,24.5,-4.5
1729,25.0,22.5,-6.0
1730,25.0,24.0,-5.0
1731,24.0,23.5,-5.5
1732,24.0,22.0,-5.5
1733,24.5,21.5,-4.0
1734,-1.0,23.0,-5.5
1735,25.0,22.0,-7.0
1736,25.0,22.5,-4.5
1737,25.0,21.0,-3.0
1738,24.0,-0.5,11.5
1739,16.0,22.5,-6.0
1740,23.5,0.0,-9.5
1741,-2.0,21.0,-1.0
1742,23.0,24.5,-5.5
1743,22.5,-4.5,-4.5
1744,22.0,1.5,-6.0
1745,25.0,2.0,-7.5
1746,25.0,24.0,-0.5
1747,24.0,2.0,-9.0
1748,13.5,18.0,-8.5
1749,17.5,-2.0,-2.5
